care_team,age,occupation,intake_no_of_hh,income_assessment_salary,income_assessment_cpf_payout,income_assessment_assistance_from_other_agencies,income_assessment_assistance_from_relatives_friends,income_assessment_insurance_payout,income_assessment_rental_income,income_assessment_others_income,expenditure_assessment_mortgage_rental,expenditure_assessment_utilities,expenditure_assessment_s_cc_fees,expenditure_assessment_food_expenses,expenditure_assessment_marketing_groceries,expenditure_assessment_telecommunications,expenditure_assessment_transportation,expenditure_assessment_medical_expenses,expenditure_assessment_education_expense,expenditure_assessment_contribution_to_family_members,expenditure_assessment_domestic_helper,expenditure_assessment_loans_debts_installments,expenditure_assessment_insurance_premiums,expenditure_assessment_others_expenditure,current_savings,assessment_date_time,type_of_assistances,no_of_hh,before_primary,primary_7_12,secondary_13_17,tertiary_18_21,adult_22_64,elderly_65_and_above,income_total_cal,expenditure_total_cal,difference_cal,amount_total,points
central 1 1,13.0,student,3.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,123.9,71.0,39.0,1200.0,0.0,120.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-14,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1601.9,-1101.9,900.0,0
central 1 1,57.0,unemployed,2.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,48.0,700.0,0.0,186.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-20,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1084.0,416.0,1144.9,0
central 1 1,32.0,unemployed,4.0,3380.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,230.0,78.0,1200.0,0.0,138.0,300.0,606.0,0.0,0.0,810.0,0.0,0.0,132.0,0.0,2020-01-17,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3880.0,3494.0,386.0,243.0,0
central 1 1,69.0,NA,2.0,525.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,70.0,31.0,250.0,0.0,188.0,68.0,0.0,0.0,0.0,60.0,0.0,0.0,447.0,0.0,2020-09-19,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,1114.0,11.0,243.0,0
central 1 1,70.0,NA,1.0,134.0,0.0,90.0,0.0,0.0,0.0,250.0,100.0,0.0,0.0,450.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2021-03-16,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,700.0,-226.0,200.0,0
central 1 1,92.0,NA,4.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,46.0,600.0,0.0,180.0,70.0,0.0,0.0,0.0,0.0,54.0,0.0,249.0,0.0,2021-04-20,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1377.0,123.0,314.0,0
central 1 1,48.0,unemployed,4.0,500.0,856.0,450.0,0.0,0.0,0.0,0.0,650.0,70.0,65.0,300.0,0.0,116.0,194.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-23,interim_dialysis_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,1495.0,311.0,1264.7,1
central 1 1,92.0,retired,1.0,0.0,0.0,450.0,1000.0,0.0,0.0,0.0,0.0,115.7,62.5,350.0,0.0,65.18,0.0,258.4,0.0,0.0,610.0,0.0,0.0,21.4,0.0,2021-05-18,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,1483.1800000000003,-33.18000000000029,536.4,0
central 1 1,59.0,unemployed,3.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,63.0,300.0,0.0,85.0,20.0,90.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-15,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,678.0,-228.0,200.0,1
east 2 2,77.0,unemployed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,300.0,0.0,30.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,2021-06-15,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,-810.0,400.0,0
