,care_team,age,occupation,intake_no_of_hh,income_assessment_salary,income_assessment_cpf_payout,income_assessment_assistance_from_other_agencies,income_assessment_assistance_from_relatives_friends,income_assessment_insurance_payout,income_assessment_rental_income,income_assessment_others_income,expenditure_assessment_mortgage_rental,expenditure_assessment_utilities,expenditure_assessment_s_cc_fees,expenditure_assessment_food_expenses,expenditure_assessment_marketing_groceries,expenditure_assessment_telecommunications,expenditure_assessment_transportation,expenditure_assessment_medical_expenses,expenditure_assessment_education_expense,expenditure_assessment_contribution_to_family_members,expenditure_assessment_domestic_helper,expenditure_assessment_loans_debts_installments,expenditure_assessment_insurance_premiums,expenditure_assessment_others_expenditure,current_savings,assessment_date_time,type_of_assistances,no_of_hh,before_primary,primary_7_12,secondary_13_17,tertiary_18_21,adult_22_64,elderly_65_and_above,income_total_cal,expenditure_total_cal,difference_cal,amount_total,points
0,central 1 1,13,student,3.0,0.0,0.0,554.4305117602852,0.0,0.0,0.0,0.0,137.3878808141987,78.7291326699605,43.245579917302244,1330.6332282246844,0.0,133.06332282246845,0.0,0.0,53.22532912898738,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-14,household_living_assistance,0,0,0,0,0,0,0,554.4305117602852,1776.2844735776018,-1221.8539618173168,997.9749211685133,0
1,central 1 1,57,unemployed,2.0,1590.8933357611145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.635733430444574,50.90858674435566,742.4168900218534,0.0,197.27077363437817,95.45360014566687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-20,medical_transport_assistance,0,0,0,0,0,0,0,1590.8933357611145,1149.6855839766986,441.20775178441573,1214.2758534086,0
2,central 1 1,32,unemployed,4.0,3609.7066754286834,0.0,0.0,533.9802774302786,0.0,0.0,0.0,0.0,245.63092761792817,83.30092327912347,1281.5526658326687,0.0,147.3785565707569,320.3881664581672,647.1840962454977,0.0,0.0,865.0480494370514,0.0,0.0,140.97079324159355,0.0,2020-01-17,medical_consumables_assistance,0,0,0,0,0,0,0,4143.686952858962,3731.454178682787,412.2327741761751,259.5144148311154,0
3,central 1 1,69,,2.0,557.9452446572362,0.0,212.55056939323288,425.10113878646575,0.0,0.0,0.0,0.0,74.3926992876315,32.94533825595109,265.68821174154107,0.0,199.7975352296389,72.26719359369918,0.0,0.0,0.0,63.76517081796986,0.0,0.0,475.0505225938755,0.0,2020-09-19,medical_consumables_assistance,0,0,0,0,0,0,0,1195.5969528369349,1183.906671520307,11.690281316627807,258.24894181277796,0
4,central 1 1,70,,1.0,142.2279878252704,0.0,95.52626047965921,0.0,0.0,0.0,265.3507235546089,106.14028942184358,0.0,0.0,477.6313023982961,0.0,31.842086826553075,74.2982025952905,0.0,0.0,0.0,0.0,0.0,0.0,53.07014471092179,0.0,2021-03-16,household_living_assistance,0,0,0,0,0,0,0,503.1049718595386,742.982025952905,-239.8770540933665,212.28057884368715,0
5,central 1 1,92,,4.0,1591.6430003151988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.87496937073695,48.81038534299943,636.6572001260796,0.0,190.99716003782387,74.27667334804262,0.0,0.0,0.0,0.0,57.299148011347164,0.0,264.212738052323,0.0,2021-04-20,medical_transport_assistance,0,0,0,0,0,0,0,1591.6430003151988,1461.1282742893527,130.5147260258463,333.1839347326483,0
6,central 1 1,76,retired,2.0,0.0,551.6973444873748,516.1553040252074,0.0,0.0,0.0,0.0,0.0,26.523910792662253,49.33447407435179,636.5738590238941,0.0,42.438257268259605,169.75302907303842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,2021-05-15,others,0,0,0,0,0,0,0,1067.8526485125824,924.6235302322061,143.22911828037616,0.0,0
7,central 1 1,48,unemployed,4.0,530.42447052795,908.0866935438505,477.38202347515505,0.0,0.0,0.0,0.0,689.5518116863351,74.259425873913,68.9551811686335,318.25468231677,0.0,123.05847716248441,205.80469456484462,106.08489410559001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-23,interim_dialysis_assistance,0,0,0,0,0,0,0,1915.8931875469555,1585.9691668785706,329.9240206683849,1341.6556557533968,1
8,central 1 1,92,retired,1.0,0.0,0.0,477.37953767056365,1060.843417045697,0.0,0.0,0.0,0.0,122.73958335218714,66.30271356535606,371.29519596599397,0.0,69.14577392303853,0.0,274.1219389646081,0.0,0.0,647.1144843978751,0.0,0.0,22.702049124777915,0.0,2021-05-18,medical_consumables_assistance,0,0,0,0,0,0,0,1538.2229547162606,1573.4217392938372,-35.19878457757623,569.0364089033118,0
9,central 1 1,59,unemployed,3.0,0.0,477.26509140930295,0.0,0.0,0.0,0.0,0.0,0.0,106.05890920206733,66.81711279730241,318.17672760620195,0.0,90.15007282175722,21.211781840413465,95.4530182818606,21.211781840413465,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-15,household_living_assistance,0,0,0,0,0,0,0,477.26509140930295,719.0794043900164,-241.8143129807135,212.11781840413465,1
