SIBOR DATE,SIBOR 1M,SIBOR 3M,SIBOR 6M,SIBOR 12M
02/01/2020,1.749,1.7745,1.82976,1.96788
03/01/2020,1.749,1.77275,1.82963,1.96788
06/01/2020,1.74733,1.7725,1.82563,1.965
07/01/2020,1.74533,1.7725,1.82663,1.964
08/01/2020,1.74733,1.771,1.82676,1.96038
09/01/2020,1.74533,1.771,1.82676,1.9595
10/01/2020,1.74533,1.771,1.82676,1.96338
13/01/2020,1.74333,1.771,1.82676,1.96338
14/01/2020,1.73758,1.771,1.82676,1.96338
15/01/2020,1.73558,1.768,1.82676,1.96338
16/01/2020,1.6855,1.74037,1.82676,1.96338
17/01/2020,1.68717,1.74,1.82363,1.96338
20/01/2020,1.68644,1.74,1.82363,1.96338
21/01/2020,1.68717,1.73862,1.82363,1.96338
22/01/2020,1.6855,1.738,1.82363,1.96338
23/01/2020,1.68414,1.73262,1.82263,1.96338
24/01/2020,1.684,1.73262,1.82263,1.96238
28/01/2020,1.68511,1.73562,1.82163,1.96038
29/01/2020,1.68108,1.73162,1.82063,1.95838
30/01/2020,1.68475,1.71275,1.82363,1.96138
31/01/2020,1.68625,1.71275,1.82363,1.96038
03/02/2020,1.68675,1.71463,1.82576,1.96325
04/02/2020,1.68775,1.71488,1.82563,1.96038
05/02/2020,1.687,1.71488,1.82576,1.96325
06/02/2020,1.68725,1.71375,1.82576,1.96138
07/02/2020,1.6875,1.71501,1.82676,1.96138
10/02/2020,1.68675,1.71501,1.82676,1.96338
11/02/2020,1.68388,1.71501,1.82363,1.96238
12/02/2020,1.68325,1.71313,1.82363,1.96038
13/02/2020,1.68427,1.71277,1.82375,1.96238
14/02/2020,1.68525,1.71264,1.82375,1.96238
17/02/2020,1.68325,1.71239,1.82271,1.96238
18/02/2020,1.683,1.71149,1.82271,1.96238
19/02/2020,1.684,1.71125,1.82271,1.96138
20/02/2020,1.6819,1.71125,1.82171,1.96138
21/02/2020,1.681,1.71125,1.82171,1.96038
24/02/2020,1.68241,1.71125,1.82071,1.96238
25/02/2020,1.67917,1.71225,1.81121,1.94584
26/02/2020,1.68191,1.712,1.80404,1.93746
27/02/2020,1.64279,1.68933,1.80404,1.936
28/02/2020,1.64259,1.68908,1.80217,1.936
02/03/2020,1.58238,1.63013,1.74075,1.874
03/03/2020,1.57951,1.62725,1.742,1.85022
04/03/2020,1.5308,1.57935,1.68838,1.80638
05/03/2020,1.46701,1.47101,1.60431,1.71691
06/03/2020,1.46113,1.46207,1.59648,1.70913
09/03/2020,1.33201,1.35701,1.51813,1.65424
10/03/2020,1.32488,1.34979,1.51246,1.64017
11/03/2020,1.32488,1.35342,1.46476,1.53213
12/03/2020,1.24325,1.3205,1.43584,1.5
13/03/2020,1.12155,1.21683,1.3755,1.43887
16/03/2020,0.99225,1.08125,1.248,1.31325
17/03/2020,0.9875,0.99083,1.17433,1.26083
18/03/2020,0.98917,0.9949,1.17633,1.26183
19/03/2020,0.99192,0.99929,1.17633,1.26183
20/03/2020,0.99292,1.00867,1.17666,1.26183
23/03/2020,0.99392,1.01117,1.17666,1.26183
24/03/2020,0.99392,1.01117,1.17666,1.26183
25/03/2020,0.99492,1.01942,1.17666,1.26183
26/03/2020,0.99292,1.01867,1.17666,1.26083
27/03/2020,0.99292,1.01867,1.17666,1.26083
30/03/2020,0.99192,1.01232,1.17716,1.26083
31/03/2020,0.98858,0.99815,1.17716,1.26166
01/04/2020,0.98875,0.99959,1.17716,1.26166
02/04/2020,0.98875,0.98984,1.17716,1.26166
03/04/2020,0.98875,0.98959,1.17533,1.26166
06/04/2020,0.98617,0.98834,1.17533,1.26166
07/04/2020,0.98833,0.99034,1.17666,1.26166
08/04/2020,0.98833,0.99371,1.17716,1.26166
09/04/2020,0.98833,0.99396,1.17633,1.26166
13/04/2020,0.98833,0.99084,1.17633,1.26166
14/04/2020,0.98833,0.99059,1.17633,1.26166
15/04/2020,0.98617,0.98909,1.17533,1.26166
16/04/2020,0.93783,0.98884,1.17533,1.26166
17/04/2020,0.88963,0.98834,1.17408,1.26166
20/04/2020,0.89004,0.98834,1.17408,1.26041
21/04/2020,0.89167,0.98859,1.17408,1.26093
22/04/2020,0.80667,0.98859,1.17408,1.26041
